,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
120,51.519233669219894,-0.04755191328393839,51.535927484607654,-0.150723490516842,Stepney Green,Camden Town,"Rectory Square, Stepney","(51.518808899999996, -0.044147399999999996)","London Zoo Car Park, The Regent's Park","(51.5364841, -0.15220329999999999)",20,36.25925925925926
121,51.58810040214696,-0.15017969855634208,51.54039824142253,-0.11716336915991975,East Finchley,Caledonian Road,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Carnegie Street, King's Cross","(51.53543200000001, -0.11661700000000001)",21,13.324043715846994
122,51.50884340132573,-0.017120712140052438,51.528304525510435,-0.09481359914971117,Poplar,Old Street,"Newby Place, Poplar","(51.510162799999996, -0.012137299999999998)","City Road, Angel","(51.529152200000006, -0.0951597)",12,24.799256505576206
123,51.582880213876,-0.1688680990340169,51.49016621490553,-0.10607498175869841,East Finchley,Kennington,"Allington street, Westminster","(51.5806125, -0.2282815)","Cotton Garden Estate, Kennington","(51.490495700000004, -0.10748150000000001)",27,14.925925925925926
124,51.48507763846872,-0.14168729365704752,51.51712414867246,-0.13149113389369693,Pimlico,Tottenham Court Road,"Grosvenor Road, Pimlico","(51.4850943, -0.1380801)","Bayley Street , Bloomsbury","(51.518761700000006, -0.13175870000000003)",9,13.675862068965518
125,51.53755690945432,-0.017747735176936077,51.480330826565385,-0.16810595256690708,Pudding Mill Lane,Sloane Square,"Podium, Queen Elizabeth Olympic Park","(51.53851599999999, -0.0120508)","Albert Bridge Road, Battersea Park","(51.47786139999999, -0.16474260000000002)",25,54.0
126,51.50659400135183,-0.17399361271931457,51.51997462395397,-0.11449149464012937,Lancaster Gate,Chancery Lane,"Triangle Car Park, Hyde Park","(51.50613999999999, -0.16961199999999999)","Red Lion Square, Holborn","(51.5192896, -0.1170673)",10,24.316310578426265
127,51.413857276692355,-0.17415287755712736,51.41790093151986,-0.037327550755104286,Colliers Wood,Lewisham,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",50,24.045454545454547
128,51.548516031045686,-0.053113344605177734,51.56329824364837,-0.05217331971010665,Bethnal Green,Seven Sisters,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",21,9.597116200169635
129,51.411958418647,-0.05180005552483914,51.41223477854297,-0.07942649376996956,Lewisham,Brixton,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",40,14.206391478029294
130,51.54389832007332,-0.1709784338716361,51.578395079686274,-0.028842746266379796,Swiss Cottage,Walthamstow Central,"Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)","Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)",29,65.6
131,51.45618236208377,-0.19068029886009508,51.49086972447444,-0.07134612432836433,East Putney,Bermondsey,"Ram Street, Wandsworth","(51.4578312, -0.19211660000000003)","Bricklayers Arms, Borough","(51.4942419, -0.0850787)",29,45.06666666666667
132,51.50696670231616,-0.022665989439117143,51.58934619915981,-0.106958595943055,West India Quay,Turnpike Lane,"Fisherman's Walk West, Canary Wharf","(51.506169899999996, -0.0208476)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",28,39.47826086956522
133,51.59798117867594,-0.10589096437355988,51.5952639753933,-0.05071320118728144,Turnpike Lane,Tottenham Hale,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",12,23.897435897435898
134,51.49745422110497,-0.08101530460101032,51.44254511977494,-0.12949483970617426,London Bridge,Balham,"Tanner Street, Bermondsey","(51.500452, -0.08171629999999999)","Ferndale Road, Brixton. ","(51.4627695, -0.12202550000000001)",17,16.73715046604527
135,51.537996177460414,-0.09469161302825778,51.42226279376628,-0.2041537182396072,Angel,Wimbledon,"Eagle Wharf Road, Hoxton","(51.53430170000001, -0.0911685)","Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)",36,40.19047619047619
136,51.52414994840533,-0.19174137869614194,51.57206219305573,-0.0358720659719723,Warwick Avenue,Blackhorse Road,"Warwick Avenue Station, Maida Vale","(51.52325459999999, -0.1838447)","Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)",30,51.5
