,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
65,51.41731864345744,-0.06133858587356468,51.578462187682334,-0.11152388353916223,Brixton,Manor House,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",26,14.150943396226415
66,51.45227186066067,-0.14227689312513192,51.47932905570594,-0.17334398510656857,Clapham South,Fulham Broadway,"Clapham Common North Side, Clapham Common","(51.461240999999994, -0.1525693)","Battersea Church Road, Battersea","(51.47748970000001, -0.1738658)",22,13.808483290488432
67,51.53842639578457,-0.019017925670555394,51.428975253727856,-0.029313939888672716,Pudding Mill Lane,Lewisham,"Monier Road, Hackney Wick","(51.53915840000001, -0.024132900000000002)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",32,18.410214168039538
68,51.537519695699444,-0.13468279870387173,51.567890998110684,-0.19570245951007526,Mornington Crescent,Golders Green,"St Martins Close, Camden Town","(51.5386873, -0.1383011)","Allington street, Westminster","(51.5806125, -0.2282815)",11,36.40909090909091
69,51.427139550289844,-0.06894752429915348,51.54960786221229,-0.17708791547731867,Brixton,Finchley Road,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)",21,19.46938775510204
70,51.59869266493552,-0.01894859626120103,51.595772840341674,-0.14745066910150284,Walthamstow Central,East Finchley,"Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",33,41.0
71,51.589509707157525,-0.057988682425541074,51.51939962026853,-0.1700670192887822,Tottenham Hale,Edgware Road (C),"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Paddington Green Police Station, Paddington","(51.5203826, -0.1714297)",23,37.57142857142857
72,51.57978059091266,-0.12498984996412398,51.506231916474015,-0.09225177171518135,Highgate,London Bridge,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Hop Exchange, The Borough","(51.504911799999995, -0.091374)",25,19.245749613601234
73,51.531345305272744,-0.1472432735050236,51.53633697509362,-0.029263271945119254,Mornington Crescent,Bow Road,"Albany Street, The Regent's Park","(51.52979570000001, -0.1444422)","Wendon Street, Old Ford","(51.536330299999996, -0.0263755)",18,40.52173913043478
74,51.5824404366018,-0.10872115771796145,51.462060425370204,-0.149846057588443,Turnpike Lane,Clapham Common,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Clapham Common North Side, Clapham Common","(51.461240999999994, -0.1525693)",30,21.23846699787083
