,oRandomLat,oRandomLong,dRandomLat,dRandomLong,coorDistance,oTrain,dTrain,oBike,dBike,bikeMins,trainMins
4270,51.53932857,-0.074284675,51.51615461,-0.08242239900000001,1.6370821546375327,Old Street,Liverpool Street,749,217,16.0,3
4271,51.49942855,-0.17970247600000003,51.50659035,-0.216104479,1.6586047816728025,Gloucester Road,Shepherd's Bush (C),392,736,15.2,10
4272,51.51444134,-0.087587447,51.52469624,-0.084439283,0.7204360198147572,Bank,Old Street,340,32,6.0,4
4273,51.51641749,-0.17913507899999997,51.51858757,-0.132053392,2.053326686942703,Paddington,Tottenham Court Road,330,88,16.0,11
4274,51.51510818,-0.208565479,51.512440000000005,-0.19096,0.7875704058082083,Ladbroke Grove,Bayswater,742,584,10.8,7
4275,51.50368837,-0.098497684,51.49506109,-0.08581448900000001,0.8114266205490805,Borough,Borough,196,94,14.428571428571427,0
4276,51.511088,-0.057159,51.515975,-0.053176999999999995,0.37896285345636077,Shadwell,Shadwell,449,450,6.8,0
4277,51.50379168,-0.11282408,51.51707521,-0.08668554199999999,1.4601377306976144,Waterloo,Moorgate,154,55,16.24137931034483,7
4278,51.515256,-0.058641,51.51615461,-0.08242239900000001,1.03625047722865,Shadwell,Liverpool Street,443,217,8.1875,4
4279,51.51580998,-0.105270275,51.50402794,-0.11386436,0.8944860503616748,Blackfriars,Waterloo,112,374,8.11111111111111,6
4280,51.515975,-0.053176999999999995,51.50581776,-0.10018633699999999,2.1614030445905756,Shadwell,Southwark,450,193,23.0,6
4281,51.51236389,-0.06954201,51.47250956,-0.122831913,3.595659992459287,Tower Gateway,Stockwell,202,772,28.0,16
4282,51.46134382,-0.159322467,51.460333,-0.16702899999999998,0.34237678861727516,Clapham South,Clapham South,768,776,2.0,0
4283,51.53404294,-0.086379717,51.526153,-0.10220800000000001,0.8775678788330424,Old Street,Farringdon,253,544,8.5,4
4284,51.51991453,-0.136039674,51.50391973,-0.11342629,1.4780035676495,Goodge Street,Waterloo,13,361,15.0,7
4285,51.50923022,-0.151296092,51.47993289,-0.19411695,2.7481396226397146,Bond Street,Fulham Broadway,289,737,28.0,14
4286,51.50391973,-0.11342629,51.51196176,-0.097441687,0.8894160094212245,Waterloo,Mansion House,361,136,9.909090909090908,7
4287,51.51474612,-0.16516428800000002,51.513735,-0.193487,1.2338965575100078,Marble Arch,Bayswater,169,29,17.0,8
4288,51.50946212,-0.12474927400000001,51.49571828,-0.11088927400000001,1.1234006522700064,Charing Cross,Lambeth North,64,235,13.0,4
4289,51.48606206,-0.214428378,51.494412,-0.173881,1.8552980825244016,Barons Court,South Kensington,635,356,27.0,6
4290,51.49217002,-0.101536865,51.50654321,-0.12317969699999999,1.367100980769951,Elephant & Castle,Embankment,152,229,11.8,6
4291,51.485587,-0.18119000000000002,51.49559291,-0.17907762600000002,0.6962189271409698,Gloucester Road,Gloucester Road,573,378,8.0,0
4292,51.522560999999996,-0.054883,51.51906932,-0.088285377,1.4726939306877112,Bethnal Green,Moorgate,501,215,14.0,5
4293,51.50810309,-0.12602103,51.49675303,-0.138733562,0.9584275785368194,Charing Cross,Victoria,341,360,10.571428571428573,5
4294,51.50070305,-0.129698963,51.50274025,-0.14956920099999998,0.8756227902749177,St. James's Park,Hyde Park Corner,762,213,19.657142857142855,6
4295,51.530052000000005,-0.16831400000000002,51.52168078,-0.130431727,1.7459589082202263,St. John's Wood,Goodge Street,247,12,13.0,10
4296,51.50686435,-0.150666888,51.50185512,-0.159237081,0.5082571186317677,Hyde Park Corner,Knightsbridge,380,166,6.0,2
4297,51.51700801,-0.09388536,51.504942,-0.115533,1.2566510562940227,St. Paul's,Waterloo,127,336,10.5,6
4298,51.47993289,-0.19411695,51.48724429,-0.205279052,0.7000130974400336,Fulham Broadway,West Kensington,737,720,11.75,4
4299,51.50379168,-0.11282408,51.517842,-0.090075,1.3849969132038455,Waterloo,Moorgate,154,509,14.41025641025641,7
4300,51.52469624,-0.084439283,51.5366541,-0.07023031,1.0306279587838045,Old Street,Bethnal Green,32,699,9.0,6
4301,51.51423368,-0.07353765400000001,51.508621999999995,-0.065006,0.5362064953581612,Aldgate,Tower Gateway,115,490,6.125,8
4302,51.48591714,-0.12446994800000001,51.495656,-0.114605,0.7970630980428177,Vauxhall,Lambeth North,74,441,7.5,11
4303,51.51953043,-0.13577731,51.52994371,-0.123616824,0.8919748523779106,Goodge Street,King's Cross St. Pancras,381,14,7.0,5
4304,51.50946212,-0.12474927400000001,51.513684600000005,-0.13558087900000002,0.5538788553702154,Charing Cross,Picadilly Circus,64,260,8.8,2
4305,51.527068,-0.13186102,51.504044,-0.104778,1.9772416671935087,Euston,Southwark,795,421,19.0,11
4306,51.49610093,-0.20815825899999998,51.50403821,-0.21740009300000002,0.6791858147762531,Kensington (Olympia),Shepherd's Bush (C),666,613,4.64,11
4307,51.50570304,-0.027772743,51.50570304,-0.027772743,0.0,Westferry,Westferry,811,811,28.1875,0
4308,51.52683806,-0.130504336,51.52168078,-0.130431727,0.3557229675464744,Euston,Goodge Street,214,12,5.0,3
4309,51.493266999999996,-0.21985,51.48810829,-0.22660621,0.4614731054846792,Hammersmith,Hammersmith,595,682,5.666666666666667,0
4310,51.53724056,-0.12480738599999999,51.52994371,-0.123616824,0.5059369585189927,King's Cross St. Pancras,King's Cross St. Pancras,806,14,8.928571428571427,0
4311,51.49506109,-0.08581448900000001,51.51248445,-0.09914140800000001,1.3342275823377028,Borough,St. Paul's,94,48,17.27272727272727,6
4312,51.50088934,-0.083159352,51.50088934,-0.083159352,0.0,London Bridge,London Bridge,314,314,29.35,0
4313,51.511246,-0.093051,51.527068,-0.13186102,2.0100999600532545,Mansion House,Euston,579,795,18.6,13
4314,51.46239255,-0.16829214,51.47729232,-0.16478637,1.0389214187811429,Clapham South,Sloane Square,764,658,9.333333333333334,14
4315,51.50295379,-0.158456089,51.51530805,-0.147203711,0.982659724977315,Knightsbridge,Bond Street,303,141,19.57142857142857,6
4316,51.542138,-0.145393,51.53589283,-0.160854428,0.7986296526712566,Camden Town,St. John's Wood,457,329,21.0,13
4317,51.53404294,-0.086379717,51.520955,-0.083493552,0.911391229005972,Old Street,Liverpool Street,253,41,7.612903225806451,3
4318,51.51615461,-0.08242239900000001,51.518240000000006,-0.11655,1.491365714423864,Liverpool Street,Holborn,217,436,12.0,7
4319,51.526041,-0.047218,51.521889,-0.046669999999999996,0.2873628310006405,Stepney Green,Stepney Green,520,478,6.4375,0
4320,51.52458353,-0.058631453,51.51422502,-0.080660083,1.1951997011127515,Bethnal Green,Aldgate,722,263,13.2,5
4321,51.48985626,-0.141923621,51.49211134,-0.13836484699999999,0.2194372209152595,Pimlico,Pimlico,178,148,13.142857142857142,0
4322,51.51862243,-0.176645823,51.511959999999995,-0.142783033,1.542913303397471,Paddington,Oxford Circus,279,349,12.333333333333334,9
4323,51.49247977,-0.17843300399999998,51.48180515,-0.18027465,0.7405968729360287,South Kensington,Fulham Broadway,187,649,9.0,6
4324,51.51431171,-0.200838199,51.48089844,-0.18385357300000002,2.420101402297174,Notting Hill Gate,Fulham Broadway,379,651,37.0,9
4325,51.50645179,-0.170279555,51.50935342,-0.196422,1.1545689246325266,Lancaster Gate,Notting Hill Gate,248,225,16.714285714285715,3
4326,51.518908,-0.079249,51.52261762,-0.071653961,0.4178495268480579,Liverpool Street,Shoreditch,251,399,4.892857142857142,8
4327,51.49654462,-0.150905245,51.50742485,-0.134621209,1.0319036799218655,Victoria,Picadilly Circus,124,228,48.4,3
4328,51.50274025,-0.14956920099999998,51.481747,-0.124642,1.8089008908419348,Hyde Park Corner,Vauxhall,213,600,15.0,8
4329,51.51108452,-0.19752494399999998,51.50646524,-0.208486599,0.5734404249406142,Notting Hill Gate,Holland Park,337,611,8.0,2
4330,51.525940999999996,-0.036017,51.52469624,-0.084439283,2.10792384918908,Mile End,Old Street,522,32,16.8,8
4331,51.52994371,-0.123616824,51.50581776,-0.10018633699999999,1.9513052483484967,King's Cross St. Pancras,Southwark,14,193,18.214285714285715,12
4332,51.49654462,-0.150905245,51.51994326,-0.17070433699999998,1.8292519715791347,Victoria,Edgware Road (C),124,408,17.0,9
4333,51.51689296,-0.158249929,51.51457763,-0.158264483,0.15969465853896478,Marble Arch,Marble Arch,403,99,6.0,0
4334,51.50990837,-0.187842717,51.51687069,-0.21387239600000002,1.2298148087660365,Queensway,Ladbroke Grove,307,650,12.0,11
