,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
83,229,202,1740,2.79,£9-12
84,662,723,720,1.88,£6-8
85,507,32,540,1.43,£5-7
86,754,157,720,1.98,£6-8
87,427,107,540,1.17,£5-6
88,356,216,360,0.67,£5-6
89,25,264,720,1.74,£6-8
90,492,496,480,1.31,£5-6
91,644,607,600,1.41,£5-7
92,14,108,1740,3.13,£9-13
93,384,150,480,1.16,£5-6
94,321,194,300,0.87,£5-6
95,652,571,720,1.72,£6-8
96,557,14,960,1.85,£6-9
97,112,54,420,0.9,£5-6
98,52,17,360,0.74,£5-6
99,702,732,1380,2.31,£8-11
100,119,42,360,0.41,£5-6
101,605,762,1140,2.56,£7-10
102,136,178,1380,3.37,£9-12
103,108,701,1320,3.22,£9-12
104,721,522,420,1.35,£5-6
105,119,75,360,0.93,£5-6
106,246,499,2280,4.35,£12-16
107,299,732,1500,3.02,£9-12
108,298,612,1740,4.63,£11-15
109,95,324,960,2.08,£6-9
110,378,292,300,0.88,£5-6
111,607,780,540,1.51,£5-7
112,165,111,720,1.79,£6-8
113,552,469,840,2.46,£7-9
114,760,394,360,0.8,£5-6
115,323,702,420,1.06,£5-6
116,180,167,720,1.83,£6-8
117,548,272,420,0.45,£5-6
118,348,64,960,1.77,£6-9
119,815,440,540,1.62,£5-7
120,748,785,1440,3.77,£10-13
121,278,112,1320,2.11,£7-10
122,126,154,840,2.01,£6-8
123,271,456,360,0.66,£5-6
124,500,564,1440,3.46,£9-12
125,756,190,720,1.93,£6-8
126,39,531,780,1.95,£6-8
127,782,392,840,1.74,£6-8
128,161,350,840,2.17,£6-9
129,181,541,480,1.3,£5-6
130,96,236,540,1.05,£5-6
131,174,64,480,1.01,£5-6
132,388,361,960,2.31,£7-9
133,664,376,720,2.2,£6-8
134,577,236,900,1.76,£6-8
135,124,781,720,1.55,£5-7
136,32,112,720,1.9,£6-8
137,236,715,660,1.47,£5-7
138,580,143,1680,3.65,£10-13
139,121,354,1560,2.86,£9-12
140,656,607,300,0.65,£5-6
141,127,25,1080,2.44,£7-10
142,68,55,840,1.95,£6-8
143,441,272,300,0.48,£5-6
144,95,154,900,2.1,£6-9
145,319,71,540,1.26,£5-6
146,662,163,360,0.81,£5-6
147,325,256,480,1.04,£5-6
148,60,70,1260,2.95,£8-11
149,737,430,600,1.38,£5-7
150,321,817,1560,3.44,£9-13
151,178,270,480,0.99,£5-6
152,107,452,1200,2.49,£7-10
153,6,53,840,1.12,£5-7
154,340,195,600,1.38,£5-7
155,584,760,840,1.97,£6-9
156,571,442,420,1.02,£5-6
157,558,320,360,0.75,£5-6
158,286,759,240,0.52,£5-6
159,715,553,900,1.93,£6-9
160,135,240,780,1.83,£6-8
161,397,248,480,0.97,£5-6
162,717,695,540,1.69,£5-7
163,657,780,1320,3.36,£9-12
164,748,127,840,2.22,£6-9
165,159,324,1620,2.78,£9-12
166,294,167,420,0.71,£5-6
167,773,109,1020,1.78,£6-9
168,620,211,660,2.17,£6-8
169,186,47,480,1.2,£5-6
170,489,46,540,0.6,£5-6
171,361,183,840,2.38,£7-9
172,246,101,480,1.11,£5-6
173,101,66,480,1.12,£5-6
174,533,718,420,1.01,£5-6
175,32,251,360,0.81,£5-6
176,581,674,1140,2.2,£7-10
177,321,732,420,0.7,£5-6
178,28,361,1620,3.43,£10-13
179,792,427,840,1.08,£5-7
180,87,503,900,1.66,£6-8
181,495,491,420,1.06,£5-6
182,506,75,900,2.25,£7-9
183,97,633,780,1.78,£6-8
184,93,697,420,0.66,£5-6
185,322,215,420,1.18,£5-6
186,194,197,540,0.92,£5-6
187,63,512,600,1.83,£5-7
188,81,373,1560,3.29,£9-13
189,374,326,1320,3.41,£9-12
190,503,32,780,1.84,£6-8
191,443,491,480,1.19,£5-6
