,randLat1,randLong1,randLat2,randLong2,oBike,dBike,coorDistance
53,51.51854104,-0.034903714,51.51397065,-0.09294031,712,427,2.5439647949210773
54,51.46663393,-0.169821175,51.47084722,-0.17070367,638,653,0.2931240313699365
55,51.522596500000006,-0.161113413,51.47569809,-0.20587627,201,727,3.775450047694351
56,51.531090999999996,-0.075901,51.51423368,-0.07353765400000001,539,115,1.167221830593672
57,51.51155322,-0.09294010000000001,51.49612799,-0.106000855,101,297,1.2060827123423579
58,51.49815779,-0.209494128,51.51148696,-0.218190203,293,652,0.994112070634856
59,51.50315739,-0.191496313,51.50315739,-0.191496313,277,277,0.0
60,51.51991453,-0.136039674,51.47659006,-0.118256789,13,802,3.086668308183995
61,51.506766999999996,-0.12370199999999999,51.52635795,-0.125979294,354,16,1.3548566447287669
62,51.50658458,-0.19900402600000003,51.52025302,-0.141327271,212,81,2.6799952397170825
63,51.48483991,-0.13808906199999998,51.488226,-0.135635511,291,294,0.25677391829840257
64,51.50402794,-0.11386436,51.52469624,-0.084439283,374,32,1.9157851800391186
65,51.519968,-0.169774,51.50275704,-0.155349725,410,222,1.3426771398772692
66,51.51477076,-0.12221963,51.527068,-0.13186102,18,795,0.946177942446909
67,51.516517900000004,-0.164393768,51.52289229,-0.171681991,188,402,0.5420253428225409
68,51.516000000000005,-0.038775,51.513757,-0.020467,461,469,0.8112127574304131
69,51.51410514,-0.147301667,51.49705603,-0.168917077,106,150,1.5055630800689725
70,51.506766999999996,-0.12370199999999999,51.51641749,-0.17913507899999997,354,330,2.5013047365023726
71,51.49337264,-0.09968067,51.49785559,-0.081608045,411,321,0.8447106441145567
72,51.49096258,-0.139625122,51.506613,-0.142844,243,541,1.0884858484860505
73,51.51953043,-0.13577731,51.496863,-0.1429434,381,826,1.5941908398858968
74,51.50672529,-0.098807246,51.52469624,-0.084439283,810,32,1.388132218567374
75,51.52334476,-0.18384640800000002,51.51444134,-0.087587447,47,340,4.2316725190107345
76,51.485587,-0.18119000000000002,51.46079243,-0.212607684,573,743,2.189064890854818
77,51.52334476,-0.18384640800000002,51.52168078,-0.130431727,47,12,2.32615695873276
78,51.490083,-0.162418,51.47505096,-0.15090837099999999,280,726,1.1513307331345366
79,51.46881971,-0.184318843,51.48112194,-0.149035375,628,800,1.7536370742460439
80,51.535179,-0.03338,51.53642464,-0.054162264,459,719,0.9080186310993735
81,51.528869,-0.047548,51.52589324,-0.090847761,577,119,1.8945161565139572
82,51.524564,-0.116279,51.52994371,-0.123616824,433,14,0.4894336227932399
83,51.50748124,-0.20553590800000002,51.51457763,-0.158264483,622,99,2.1135709545290573
84,51.53450449,-0.10699270599999999,51.52334672,-0.120202614,234,57,0.9604097667820247
85,51.50391973,-0.11342629,51.51048489,-0.082989638,361,199,1.3991702331667435
86,51.50777049,-0.130699733,51.49313,-0.156876,233,5,1.5218389583120697
87,51.50522417,-0.098031812,51.5031278,-0.078655507,801,818,0.8551046695771436
88,51.47303687,-0.21474980800000001,51.48321729,-0.211860644,681,761,0.713322677824906
89,51.518153999999996,-0.062697,51.52867339,-0.08745937599999999,206,50,1.2986465222110681
90,51.47287627,-0.176267008,51.49094565,-0.181190899,701,216,1.2645531202008173
91,51.52994371,-0.123616824,51.50654321,-0.12317969699999999,14,229,1.6140959535271018
92,51.5263778,-0.07813092099999999,51.535678000000004,-0.062546,39,553,0.9332674291015954
93,51.51492456,-0.066078037,51.5263778,-0.07813092099999999,200,39,0.9480872010120527
94,51.49148474,-0.090220911,51.53932857,-0.074284675,223,749,3.371909798584974
95,51.52334672,-0.120202614,51.52994371,-0.123616824,57,14,0.47862999622749
96,51.511654,-0.179668,51.50102668,-0.18024610100000002,524,266,0.7334208121299983
97,51.507131,-0.06691,51.506946,-0.058681,46,488,0.3581558027654934
98,51.511542,-0.056666999999999995,51.504044,-0.104778,552,421,2.1555903680607407
99,51.48959104,-0.20937859399999997,51.49705603,-0.168917077,633,150,1.83368299553894
