,estimate,trip,pickup_estimate
21,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.34, 'display_amount': '1-1.34', 'display_name': 'Distance', 'low_amount': 1.0}, {'high_amount': None, 'display_amount': '0.54', 'display_name': '£5.00 Minimum', 'low_amount': 0.54}, {'high_amount': 1.28, 'display_amount': '0.96-1.28', 'display_name': 'Time', 'low_amount': 0.96}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 420, 'distance_estimate': 0.89}",8
22,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/0062884c-2cd2-4313-a5bf-f72b59d858a1', 'high_estimate': 14, 'expires_at': 1542222785, 'surge_confirmation_id': '0062884c-2cd2-4313-a5bf-f72b59d858a1', 'minimum': 7, 'low_estimate': 11, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.5, 'display_amount': '3.38-4.5', 'display_name': 'Distance', 'low_amount': 3.38}, {'high_amount': 3.93, 'display_amount': '3.2-3.93', 'display_name': 'Surge x1.4', 'low_amount': 3.2}, {'high_amount': 2.82, 'display_amount': '2.12-2.82', 'display_name': 'Time', 'low_amount': 2.12}], 'surge_multiplier': 1.4, 'display': '£11-14', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 960, 'distance_estimate': 3.0}",10
23,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.58, 'display_amount': '1.94-2.58', 'display_name': 'Distance', 'low_amount': 1.94}, {'high_amount': 2.15, 'display_amount': '1.62-2.15', 'display_name': 'Time', 'low_amount': 1.62}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 1.72}",6
24,"{'surge_confirmation_href': None, 'high_estimate': 10, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.01, 'display_amount': '3.01-4.01', 'display_name': 'Distance', 'low_amount': 3.01}, {'high_amount': 3.34, 'display_amount': '2.51-3.34', 'display_name': 'Time', 'low_amount': 2.51}], 'surge_multiplier': 1.0, 'display': '£8-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1140, 'distance_estimate': 2.67}",8
25,"{'surge_confirmation_href': None, 'high_estimate': 13, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.49, 'display_amount': '4.11-5.49', 'display_name': 'Distance', 'low_amount': 4.11}, {'high_amount': 4.02, 'display_amount': '3.01-4.02', 'display_name': 'Time', 'low_amount': 3.01}], 'surge_multiplier': 1.0, 'display': '£9-13', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1320, 'distance_estimate': 3.66}",15
26,"{'surge_confirmation_href': None, 'high_estimate': 10, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.96, 'display_amount': '2.98-3.96', 'display_name': 'Distance', 'low_amount': 2.98}, {'high_amount': 2.73, 'display_amount': '2.05-2.73', 'display_name': 'Time', 'low_amount': 2.05}], 'surge_multiplier': 1.0, 'display': '£7-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 2.64}",5
27,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.56, 'display_amount': '2.68-3.56', 'display_name': 'Distance', 'low_amount': 2.68}, {'high_amount': 2.24, 'display_amount': '1.68-2.24', 'display_name': 'Time', 'low_amount': 1.68}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 2.37}",6
28,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.5, 'display_amount': '1.13-1.5', 'display_name': 'Distance', 'low_amount': 1.13}, {'high_amount': None, 'display_amount': '0.43', 'display_name': '£5.00 Minimum', 'low_amount': 0.43}, {'high_amount': 1.25, 'display_amount': '0.94-1.25', 'display_name': 'Time', 'low_amount': 0.94}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 420, 'distance_estimate': 1.0}",9
29,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.14, 'display_amount': '0.85-1.14', 'display_name': 'Distance', 'low_amount': 0.85}, {'high_amount': None, 'display_amount': '0.55', 'display_name': '£5.00 Minimum', 'low_amount': 0.55}, {'high_amount': 1.46, 'display_amount': '1.1-1.46', 'display_name': 'Time', 'low_amount': 1.1}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 0.76}",15
30,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.18, 'display_amount': '2.38-3.18', 'display_name': 'Distance', 'low_amount': 2.38}, {'high_amount': 2.49, 'display_amount': '1.87-2.49', 'display_name': 'Time', 'low_amount': 1.87}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 2.11}",5
