,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
972,533,718,420,1.01,£5-6
973,32,251,360,0.81,£5-6
974,581,674,1140,2.2,£7-10
975,321,732,420,0.7,£5-6
976,28,361,1620,3.43,£10-13
977,792,427,840,1.08,£5-7
978,87,503,900,1.66,£6-8
979,495,491,420,1.06,£5-6
980,506,75,900,2.25,£7-9
981,97,633,780,1.78,£6-8
982,93,697,420,0.66,£5-6
983,322,215,420,1.18,£5-6
984,194,197,540,0.92,£5-6
985,63,512,600,1.83,£5-7
986,81,373,1560,3.29,£9-13
987,374,326,1320,3.41,£9-12
988,503,32,780,1.84,£6-8
989,443,491,480,1.19,£5-6
990,243,250,540,1.2,£5-6
991,109,224,1620,3.23,£9-13
992,119,42,360,0.41,£5-6
993,187,541,900,2.39,£7-9
994,640,376,720,2.48,£6-9
995,363,804,1140,2.87,£8-11
996,207,617,1740,3.85,£12-17
997,229,74,900,2.46,£7-9
998,93,65,720,1.89,£6-8
999,57,14,480,0.85,£5-6
1000,69,254,780,1.61,£6-8
1001,154,448,2520,6.23,£15-20
1002,73,533,360,0.89,£5-6
1003,488,443,420,0.79,£5-6
1004,112,762,900,2.18,£7-9
1005,734,780,600,1.88,£5-8
1006,412,135,1620,3.7,£10-13
1007,553,578,360,1.02,£5-6
1008,13,310,1560,3.58,£10-13
1009,323,108,1320,3.54,£9-12
1010,132,788,1560,3.77,£10-13
1011,270,324,900,1.84,£6-8
1012,430,216,240,0.39,£5-6
1013,268,280,540,1.08,£5-6
1014,653,620,240,0.49,£5-6
1015,508,122,240,0.35,£5-6
1016,595,300,1080,2.44,£7-10
1017,109,15,540,0.62,£5-6
1018,14,345,2460,4.97,£13-18
1019,123,233,1380,3.31,£9-12
1020,331,446,840,2.08,£6-9
1021,772,624,240,0.67,£5-6
1022,395,314,2040,4.42,£12-16
1023,112,154,840,1.97,£6-8
1024,264,42,420,1.02,£5-6
1025,465,55,540,1.67,£5-7
1026,132,452,960,1.68,£6-8
1027,746,158,540,1.41,£5-7
1028,38,157,240,0.36,£5-6
1029,511,499,900,1.92,£6-9
1030,626,753,720,1.91,£6-8
1031,154,605,2100,3.74,£11-15
1032,67,4,720,1.39,£5-7
1033,489,213,1860,4.78,£12-16
1034,492,460,420,1.06,£5-6
1035,424,129,1200,2.27,£7-10
1036,427,58,660,1.22,£5-7
1037,392,405,240,0.55,£5-6
1038,27,199,840,1.44,£5-8
1039,544,321,1320,2.89,£8-11
1040,368,348,720,1.39,£5-7
1041,542,521,780,1.87,£6-8
1042,214,131,300,0.79,£5-6
1043,639,143,1140,2.79,£8-11
1044,758,191,960,2.98,£7-10
1045,4,131,480,1,£5-6
1046,587,85,960,1.46,£6-8
1047,807,228,1980,4.82,£12-16
1048,539,512,360,0.74,£5-6
1049,107,421,780,1.88,£6-8
1050,156,331,1560,2.53,£8-11
1051,282,719,1020,2.67,£7-10
1052,130,33,420,0.73,£5-6
1053,219,133,540,1.05,£5-6
1054,58,427,720,1.36,£5-7
1055,181,2,1140,2.34,£7-10
1056,12,227,660,1.2,£5-7
1057,222,186,840,2,£6-9
1058,113,182,1320,2.88,£8-11
1059,225,643,300,0.92,£5-6
1060,151,591,780,1.62,£6-8
1061,573,133,660,1.5,£5-7
1062,251,150,2160,5.59,£13-18
1063,399,115,900,1.64,£6-8
1064,805,392,960,2.57,£7-10
1065,281,44,1080,2.3,£7-10
1066,374,144,600,1.24,£5-7
1067,533,282,480,1.36,£5-7
1068,378,686,1260,2.9,£8-11
1069,281,290,1680,3.41,£10-13
1070,701,638,360,0.91,£5-6
1071,356,777,1140,3.22,£8-11
1072,19,462,660,1.55,£5-7
1073,223,340,1200,2.45,£7-10
1074,374,246,1200,2.67,£8-11
1075,58,331,480,0.91,£5-6
1076,710,192,1740,4.25,£11-15
1077,229,412,840,2.04,£6-9
1078,14,270,1740,4.37,£11-15
1079,94,194,420,1.14,£5-6
1080,786,790,360,1.11,£5-6
1081,541,167,540,1.29,£5-7
1082,516,206,900,2.34,£7-9
1083,192,104,1740,3.61,£10-14
1084,609,623,540,1.17,£5-6
1085,27,527,2460,7.07,£15-21
1086,191,389,360,0.73,£5-6
1087,136,335,600,1.64,£6-9
1088,386,357,720,0.84,£5-6
1089,325,47,1680,3.83,£10-14
1090,296,113,420,0.59,£5-6
1091,25,17,840,1.71,£6-8
1092,251,322,360,0.7,£6-7
1093,428,216,360,0.92,£5-6
1094,295,199,1200,1.6,£6-9
1095,66,217,780,1.6,£6-8
1096,409,9,660,1.19,£5-7
1097,261,176,420,0.49,£5-6
1098,180,141,480,1.05,£5-6
1099,654,183,360,1.11,£5-6
1100,193,194,240,0.37,£5-6
1101,405,653,900,2.35,£7-9
1102,78,16,660,1.69,£5-8
1103,742,606,360,1.14,£5-6
1104,782,157,720,1.64,£5-8
1105,553,351,900,2.14,£6-9
1106,376,360,300,0.89,£5-6
1107,29,607,1680,4.18,£10-14
1108,46,85,900,1.39,£6-8
1109,820,813,720,2.11,£6-8
1110,68,701,2100,5.57,£13-18
1111,154,562,720,1.6,£5-8
1112,21,572,300,0.69,£5-6
1113,613,634,360,0.83,£5-6
1114,203,17,360,0.7,£5-6
1115,131,594,1140,1.57,£6-9
1116,247,98,540,1.71,£5-7
1117,640,345,660,2.11,£6-8
1118,793,104,1320,2.84,£8-11
1119,410,164,360,0.75,£5-6
1120,327,328,0,0.02,£5-6
1121,478,531,360,0.95,£5-6
1122,350,306,1560,3.01,£9-12
1123,602,219,1560,4.11,£10-14
1124,111,161,720,1.87,£6-8
1125,781,142,780,1.55,£5-8
1126,440,382,1560,3.7,£10-13
1127,358,101,1260,1.82,£7-10
1128,58,569,360,1.02,£5-6
1129,263,214,1440,2.95,£11-15
1130,286,341,1920,3.62,£10-14
1131,162,12,600,1.05,£5-6
1132,177,228,900,1.67,£6-8
1133,795,619,2400,6.8,£15-20
1134,68,374,900,2.21,£7-9
1135,695,264,300,0.82,£5-6
1136,154,85,1200,2.64,£8-11
1137,597,181,1620,3.36,£9-13
1138,7,28,600,2.07,£6-8
1139,452,195,840,2.06,£6-9
1140,496,102,1560,3.57,£10-13
1141,251,232,960,2.06,£9-12
1142,101,264,780,1.7,£7-10
1143,102,492,1500,2.62,£11-15
1144,182,456,720,2.18,£6-8
1145,465,135,540,1.79,$£5-7
1146,531,553,420,1.34,£5-6
1147,536,78,720,1.76,£6-8
1148,320,376,420,0.92,£5-6
1149,692,788,480,1.3,£5-6
1150,352,295,720,1.94,£6-8
1151,74,558,420,0.8,£5-6
