station__id,station__name,station__terminalName,station__lat,station__long,station__installed,station__locked,station__installDate,station__removalDate,station__temporary
104,"Crosswall, Tower",991,51.51159481,-0.077121322,TRUE,FALSE,1.2791E+12,,FALSE
105,"Westbourne Grove, Bayswater",1041,51.51552971,-0.190240716,TRUE,FALSE,1.27911E+12,,FALSE
106,"Woodstock Street, Mayfair",1042,51.51410514,-0.147301667,TRUE,FALSE,1.27911E+12,,FALSE
107,"Finsbury Leisure Centre, St. Luke's",1049,51.52600832,-0.096317627,TRUE,FALSE,1.27911E+12,,FALSE
108,"Abbey Orchard Street, Westminster",3429,51.49812559,-0.132102166,TRUE,FALSE,1.27911E+12,,FALSE
109,"Soho Square , Soho",1052,51.51563144,-0.132328837,TRUE,FALSE,1.27911E+12,,FALSE
110,"Wellington Road, St. John's Wood",1055,51.53304322,-0.172528678,TRUE,FALSE,1.27911E+12,,FALSE
111,"Park Lane , Hyde Park",1037,51.5100172,-0.157275636,TRUE,FALSE,1.27911E+12,,FALSE
112,"Stonecutter Street, Holborn",1061,51.51580998,-0.105270275,TRUE,FALSE,1.27912E+12,,FALSE
113,"Gloucester Road (Central), South Kensington",3435,51.49646288,-0.183289032,TRUE,FALSE,1.27912E+12,,FALSE
114,"Park Road (Baker Street), The Regent's Park",1050,51.52451738,-0.158963647,TRUE,FALSE,1.27912E+12,,FALSE
115,"Braham Street, Aldgate",1062,51.51423368,-0.073537654,TRUE,FALSE,1.27912E+12,,FALSE
116,"Little Argyll Street, West End",995,51.51449962,-0.141423695,TRUE,FALSE,1.27912E+12,,FALSE
117,"Lollard Street, Vauxhall",998,51.49288067,-0.114934001,TRUE,FALSE,1.27912E+12,,FALSE
118,"Rochester Row, Westminster",3457,51.49582705,-0.13547809,TRUE,FALSE,1.27912E+12,,FALSE
119,"Bath Street, St. Luke's",964,51.52589324,-0.090847761,TRUE,FALSE,1.27912E+12,,FALSE
121,"Baker Street, Marylebone",1086,51.51891348,-0.156166631,TRUE,FALSE,1.27919E+12,,FALSE
122,"Norton Folgate, Liverpool Street",1068,51.52111369,-0.078869751,TRUE,FALSE,1.27919E+12,,FALSE
123,"St. John Street, Finsbury",992,51.52836014,-0.104724625,TRUE,FALSE,1.27919E+12,,FALSE
124,"Eaton Square, Belgravia",1069,51.49654462,-0.150905245,TRUE,FALSE,1.27919E+12,,FALSE
125,"Borough High Street, The Borough",996,51.50069491,-0.094524319,TRUE,FALSE,1.27919E+12,,FALSE
126,"Museum of London, Barbican",1043,51.51782144,-0.096496865,TRUE,FALSE,1.27919E+12,,FALSE
127,"Wood Street, Guildhall",1063,51.51700801,-0.09388536,TRUE,FALSE,1.27919E+12,,FALSE
128,"Emperor's Gate, South Kensington",1116,51.49536226,-0.185296516,TRUE,FALSE,1.27919E+12,,FALSE
129,"Golden Square, Soho",3451,51.5118973,-0.137043852,TRUE,FALSE,1.2792E+12,,FALSE
130,"Tower Gardens , Tower",1071,51.50950627,-0.075459482,TRUE,FALSE,1.2792E+12,,FALSE
131,"Eversholt Street , Camden Town",1005,51.53300545,-0.136792671,TRUE,FALSE,1.2792E+12,,FALSE
132,"Bethnal Green Road, Shoreditch",973,51.52364804,-0.074754872,TRUE,FALSE,1.2792E+12,,FALSE
133,"Derry Street, Kensington",3436,51.50136494,-0.191462381,TRUE,FALSE,1.2792E+12,,FALSE
134,"Wapping High Street, Wapping",1039,51.504904,-0.06797,TRUE,FALSE,1.2792E+12,,FALSE
135,"Clerkenwell Green, Clerkenwell",1053,51.52326004,-0.104708922,TRUE,FALSE,1.2792E+12,,FALSE
136,"Queen Victoria Street, St. Paul's",1048,51.51196176,-0.097441687,TRUE,FALSE,1.2792E+12,,FALSE
138,"Green Street, Mayfair",3464,51.51227622,-0.157436972,TRUE,FALSE,1.27921E+12,,FALSE
139,"Lambeth Road, Vauxhall",1078,51.49488108,-0.117974901,TRUE,FALSE,1.27921E+12,,FALSE
140,"Finsbury Square , Moorgate",1056,51.52096262,-0.085634242,TRUE,FALSE,1.27921E+12,,FALSE
141,"Chapel Place, Marylebone",1003,51.51530805,-0.147203711,TRUE,FALSE,1.27921E+12,,FALSE
142,"West Cromwell Road, Earl's Court",1001,51.49372451,-0.198286569,TRUE,FALSE,1.27921E+12,,FALSE
143,"Pont Street, Knightsbridge",1114,51.4968865,-0.161203828,TRUE,FALSE,1.27921E+12,,FALSE
144,"Kennington Cross, Kennington",1093,51.48894022,-0.111435796,TRUE,FALSE,1.27921E+12,,FALSE
145,"Ilchester Place, Kensington",1115,51.50074359,-0.202759212,TRUE,FALSE,1.27921E+12,,FALSE
146,"Vauxhall Bridge , Pimlico",1046,51.48836528,-0.129361842,TRUE,FALSE,1.27921E+12,,FALSE
148,"Tachbrook Street, Victoria",965,51.49211134,-0.138364847,TRUE,FALSE,,,FALSE
149,"Kennington Road Post Office, Oval",1073,51.48478899,-0.110683213,TRUE,FALSE,1.27922E+12,,FALSE
150,"Holy Trinity Brompton, Knightsbridge",1002,51.49705603,-0.168917077,TRUE,FALSE,1.27922E+12,,FALSE
151,"Chepstow Villas, Notting Hill",1120,51.51213691,-0.201554966,TRUE,FALSE,1.27922E+12,,FALSE
152,"Hampton Street, Walworth",1118,51.49217002,-0.101536865,TRUE,FALSE,1.27922E+12,,FALSE
154,"Waterloo Station 3, Waterloo",1072,51.50379168,-0.11282408,TRUE,FALSE,,,FALSE
155,"Lexham Gardens, Kensington",1121,51.49586666,-0.191933711,TRUE,FALSE,1.27927E+12,,FALSE
156,"New Kent Road, The Borough",966,51.49443626,-0.092921165,TRUE,FALSE,1.27927E+12,,FALSE
157,"Wright's Lane, Kensington",1094,51.50039792,-0.193068385,TRUE,FALSE,1.27927E+12,,FALSE
158,"Trebovir Road, Earl's Court",1113,51.49085368,-0.196170309,TRUE,FALSE,1.27927E+12,,FALSE
159,"Great Marlborough Street, Soho",1125,51.51461995,-0.137841333,TRUE,FALSE,1.27927E+12,,FALSE
160,"Waterloo Place, St. James's",3458,51.50663341,-0.131773845,TRUE,FALSE,1.27927E+12,,FALSE
161,"Guildhouse Street, Victoria",3478,51.49234577,-0.141334487,TRUE,FALSE,1.27929E+12,,FALSE
162,"Southampton Place, Holborn",1123,51.51760685,-0.121328408,TRUE,FALSE,1.27929E+12,,FALSE
163,"Sloane Avenue, Knightsbridge",3461,51.4931848,-0.167894973,TRUE,FALSE,1.27929E+12,,FALSE
164,"Cleveland Gardens, Bayswater",1178,51.515607,-0.183118788,TRUE,FALSE,1.27929E+12,,FALSE
165,"Orsett Terrace, Bayswater",2585,51.517932,-0.183716959,TRUE,FALSE,1.27929E+12,,FALSE
166,"Seville Street, Knightsbridge",1177,51.50185512,-0.159237081,TRUE,FALSE,1.27929E+12,,FALSE
167,"Eccleston Place, Victoria",3465,51.49395092,-0.147624377,TRUE,FALSE,,,FALSE
168,"Argyll Road, Kensington",3463,51.50040123,-0.195455928,TRUE,FALSE,1.27929E+12,,FALSE
169,"Porchester Place, Paddington",3477,51.51474612,-0.165164288,TRUE,FALSE,1.27929E+12,,FALSE
170,"Hardwick Street, Clerkenwell",1057,51.52784273,-0.108068155,TRUE,FALSE,1.27929E+12,,FALSE
171,"Collingham Gardens, Earl's Court",3459,51.4916156,-0.186753859,TRUE,FALSE,1.27929E+12,,FALSE
172,"Sumner Place, South Kensington",1124,51.49121192,-0.173715911,TRUE,FALSE,1.27929E+12,,FALSE
173,"Waterloo Road, South Bank",1176,51.50486,-0.113001,TRUE,FALSE,1.27929E+12,,FALSE
174,"Strand, Strand",1100,51.512529,-0.115163,TRUE,FALSE,1.2793E+12,,FALSE
176,"Gloucester Terrace, Bayswater",1173,51.51791921,-0.188098863,TRUE,FALSE,1.2793E+12,,FALSE
177,"Ashley Place, Victoria",1122,51.49616092,-0.140947636,TRUE,FALSE,1.2793E+12,,FALSE
178,"Warwick Square, Pimlico",3460,51.48985626,-0.141923621,TRUE,FALSE,1.2793E+12,,FALSE
180,"North Audley Street, Mayfair",1126,51.5129118,-0.153645496,TRUE,FALSE,1.2793E+12,,FALSE
181,"Belgrave Square, Belgravia",3473,51.49941247,-0.152317537,TRUE,FALSE,1.2793E+12,,FALSE
182,"Bell Street , Marylebone",1166,51.52202903,-0.165842551,TRUE,FALSE,1.27936E+12,,FALSE
183,"Riverlight North, Nine Elms",1165,51.482362,-0.13612398,TRUE,FALSE,1.27936E+12,,FALSE
184,"Portland Place, Marylebone",1164,51.52071513,-0.14521173,TRUE,FALSE,1.27936E+12,,FALSE
185,"Alderney Street, Pimlico",1174,51.48805753,-0.140741432,TRUE,FALSE,1.27937E+12,,FALSE
186,"South Wharf Road, Paddington",1167,51.51733558,-0.175810943,TRUE,FALSE,1.27937E+12,,FALSE
187,"Queen's Gate (South), South Kensington",1172,51.49247977,-0.178433004,TRUE,FALSE,1.27937E+12,,FALSE
188,"Nutford Place, Marylebone",1112,51.5165179,-0.164393768,TRUE,FALSE,1.27938E+12,,FALSE
189,"Claremont Square, Angel",1104,51.53166681,-0.109914711,TRUE,FALSE,1.27938E+12,,FALSE
190,"Rampayne Street, Pimlico",1106,51.48997562,-0.132845681,TRUE,FALSE,1.27938E+12,,FALSE
191,"Hyde Park Corner, Hyde Park",1075,51.50311799,-0.153520935,TRUE,FALSE,1.27938E+12,,FALSE
192,"Wardour Street, Soho",1163,51.51251523,-0.133201961,TRUE,FALSE,1.27938E+12,,FALSE
193,"Bankside Mix, Bankside",963,51.50581776,-0.100186337,TRUE,FALSE,1.27939E+12,,FALSE
194,"Hop Exchange, The Borough",960,51.50462759,-0.091773776,TRUE,FALSE,1.27939E+12,,FALSE
195,"Milroy Walk, South Bank",959,51.50724437,-0.106237501,TRUE,FALSE,1.27939E+12,,FALSE
196,"Union Street, The Borough",961,51.50368837,-0.098497684,TRUE,FALSE,1.27939E+12,,FALSE
197,"Stamford Street, South Bank",962,51.50556905,-0.111606696,TRUE,FALSE,1.27939E+12,,FALSE
199,"Great Tower Street, Monument",1080,51.51048489,-0.082989638,TRUE,FALSE,1.27944E+12,,FALSE
200,"LMU Commercial Road, Whitechapel",1105,51.51492456,-0.066078037,TRUE,FALSE,1.27944E+12,,FALSE
